finding_id,scan_id,scan_date,detected_timestamp,asset_id,asset_name,asset_type,environment,business_unit,owner_team,cve_id,vulnerability_title,vulnerability_category,severity,cvss_score,cvss_vector,status,first_detected_date,age_days,remediation_hours,asset_value_at_risk,weighted_risk,remediation_sla_days,exploit_available,detection_source,source_updated_at
FND-000806,SCN-20260601-0756,2026-06-01,2026-06-01T06:10:00+00:00,AST-004,orders-postgres-prod,Database,Production,Commerce,Data Platform,CVE-2026-44247,Privilege Escalation in the identity federation module,Privilege Escalation,High,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-03-06,87,14.04,1894200.00,98.40,30,false,CrowdStrike Spotlight,2026-06-01T08:10:00+00:00
FND-000807,SCN-20260719-0757,2026-07-19,2026-07-19T06:11:00+00:00,AST-007,billing-batch-worker,Container,Production,Payments Platform,Platform SRE,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Open,2026-05-17,63,13.65,540940.00,68.80,30,true,Qualys VMDR,2026-07-20T08:11:00+00:00
FND-000808,SCN-20260427-0758,2026-04-27,2026-04-27T06:12:00+00:00,AST-012,vpn-concentrator,Network Device,Production,Network Security,Network Security,CVE-2026-46028,Denial of Service in the caching proxy,Denial of Service,High,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-03-04,54,9.88,1144000.00,96.80,30,true,Qualys VMDR,2026-04-28T08:12:00+00:00
FND-000809,SCN-20260329-0759,2026-03-29,2026-03-29T06:13:00+00:00,AST-008,hr-records-db,Database,Production,People Operations,Enterprise Apps,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,In Remediation,2026-01-18,70,13.65,825600.00,77.40,30,true,Nessus,2026-03-30T08:13:00+00:00
FND-000810,SCN-20260103-0760,2026-01-03,2026-01-03T06:14:00+00:00,AST-021,dev-sandbox-box,Cloud VM,Development,Developer Platform,Developer Platform,CVE-2026-42603,Cryptographic Weakness in the identity federation module,Cryptographic Weakness,High,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-11-14,50,11.70,63900.00,14.20,30,true,Wiz,2026-01-04T08:14:00+00:00
FND-000811,SCN-20260505-0689,2026-05-05,2026-05-05T06:15:00+00:00,AST-017,reporting-warehouse,Database,Production,Finance Systems,Enterprise Apps,CVE-2026-40959,Path Traversal in the identity federation module,Path Traversal,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-04-09,26,6.30,750750.00,58.50,90,false,Qualys VMDR,2026-05-05T08:15:00+00:00
FND-000812,SCN-20251115-0761,2025-11-15,2025-11-15T06:16:00+00:00,AST-023,email-relay,Server,Production,Corporate IT,Enterprise Apps,CVE-2026-42329,Path Traversal in the API gateway plugin,Path Traversal,High,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-09-12,64,9.10,246000.00,41.00,30,true,Rapid7 InsightVM,2025-11-15T08:16:00+00:00
FND-000813,SCN-20260420-0762,2026-04-20,2026-04-20T06:17:00+00:00,AST-007,billing-batch-worker,Container,Production,Payments Platform,Platform SRE,CVE-2026-40685,Authentication Bypass in the API gateway plugin,Authentication Bypass,High,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-03-13,38,19.11,577940.00,56.80,30,true,Wiz,2026-04-20T08:17:00+00:00
FND-000814,SCN-20260602-0550,2026-06-02,2026-06-02T06:18:00+00:00,AST-004,orders-postgres-prod,Database,Production,Commerce,Data Platform,CVE-2026-43425,Authentication Bypass in the container runtime shim,Authentication Bypass,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-03-15,79,12.60,812700.00,51.60,90,false,Qualys VMDR,2026-06-02T08:18:00+00:00
FND-000815,SCN-20251122-0241,2025-11-22,2025-11-22T06:19:00+00:00,AST-019,secrets-vault,Container,Production,Identity & Access,IAM Engineering,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,In Remediation,2025-10-02,51,23.04,1984500.00,127.40,7,true,Nessus,2025-11-22T08:19:00+00:00
FND-000816,SCN-20260821-0763,2026-08-21,2026-08-21T06:20:00+00:00,AST-008,hr-records-db,Database,Production,People Operations,Enterprise Apps,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,In Remediation,2026-06-05,77,13.00,743040.00,77.40,30,true,Manual Pentest,2026-08-21T08:20:00+00:00
FND-000817,SCN-20260320-0764,2026-03-20,2026-03-20T06:21:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2026-45617,Privilege Escalation in the API gateway plugin,Privilege Escalation,Low,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-01-17,62,8.82,213435.00,24.80,180,false,Rapid7 InsightVM,2026-03-20T08:21:00+00:00
FND-000818,SCN-20260521-0765,2026-05-21,2026-05-21T06:22:00+00:00,AST-008,hr-records-db,Database,Production,People Operations,Enterprise Apps,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Open,2026-02-25,85,12.35,825600.00,77.40,30,true,Rapid7 InsightVM,2026-05-22T08:22:00+00:00
FND-000819,SCN-20260126-0766,2026-01-26,2026-01-26T06:23:00+00:00,AST-003,customer-portal-web,Server,Production,Digital Experience,Web Platform,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Open,2025-07-27,183,9.36,810000.00,75.00,30,false,Rapid7 InsightVM,2026-01-26T08:23:00+00:00
FND-000820,SCN-20260123-0767,2026-01-23,2026-01-23T06:24:00+00:00,AST-024,iot-telemetry-hub,Network Device,Staging,Product Engineering,Integration Team,CVE-2025-42466,Cross-Site Scripting in the log-shipping daemon,Cross-Site Scripting,High,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-12-04,50,5.85,243000.00,30.00,30,true,Wiz,2026-01-24T08:24:00+00:00
FND-000821,SCN-20260209-0768,2026-02-09,2026-02-09T06:25:00+00:00,AST-010,ci-build-runner,Cloud VM,Development,Developer Platform,Developer Platform,CVE-2026-41507,Privilege Escalation in the configuration server,Privilege Escalation,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-12-11,60,11.40,141900.00,21.50,90,false,Nessus,2026-02-11T08:25:00+00:00
FND-000822,SCN-20260525-0769,2026-05-25,2026-05-25T06:26:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2026-40274,SQL Injection in the object-storage SDK,SQL Injection,High,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-11-26,180,11.70,774400.00,70.40,30,false,Nessus,2026-05-25T08:26:00+00:00
FND-000823,SCN-20260523-0029,2026-05-23,2026-05-23T06:27:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Resolved,2025-12-09,165,11.44,1080000.00,82.50,30,false,Wiz,2026-05-23T08:27:00+00:00
FND-000824,SCN-20260406-0770,2026-04-06,2026-04-06T06:28:00+00:00,AST-004,orders-postgres-prod,Database,Production,Commerce,Data Platform,CVE-2026-40959,Path Traversal in the identity federation module,Path Traversal,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-12-15,112,6.30,1365000.00,78.00,90,false,Wiz,2026-04-06T08:28:00+00:00
FND-000825,SCN-20260706-0156,2026-07-06,2026-07-06T06:29:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Open,2026-05-05,62,26.88,1724800.00,107.80,7,true,Rapid7 InsightVM,2026-07-07T08:29:00+00:00
FND-000826,SCN-20260530-0771,2026-05-30,2026-05-30T06:30:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2026-40548,Denial of Service in the workflow scheduler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-04-11,49,11.44,1462500.00,90.00,30,false,Qualys VMDR,2026-05-31T08:30:00+00:00
FND-000827,SCN-20260611-0772,2026-06-11,2026-06-11T06:31:00+00:00,AST-023,email-relay,Server,Production,Corporate IT,Enterprise Apps,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,In Remediation,2025-12-25,168,6.00,174900.00,26.50,90,false,Wiz,2026-06-11T08:31:00+00:00
FND-000828,SCN-20260208-0773,2026-02-08,2026-02-08T06:32:00+00:00,AST-015,sso-broker,Container,Production,Identity & Access,IAM Engineering,CVE-2026-42603,Cryptographic Weakness in the identity federation module,Cryptographic Weakness,High,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2025-12-14,56,12.28,958500.00,78.10,30,true,Nessus,2026-02-08T08:32:00+00:00
FND-000829,SCN-20260613-0774,2026-06-13,2026-06-13T06:33:00+00:00,AST-020,partner-integration-gw,Server,Production,Partnerships,Integration Team,CVE-2025-40411,Information Disclosure in the metrics collector agent,Information Disclosure,High,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2026-04-05,69,8.58,516600.00,57.40,30,false,Nessus,2026-06-13T08:33:00+00:00
FND-000830,SCN-20260424-0775,2026-04-24,2026-04-24T06:34:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2026-43973,Cryptographic Weakness in the API gateway plugin,Cryptographic Weakness,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-01-12,102,13.68,1237600.00,100.10,7,true,Qualys VMDR,2026-04-24T08:34:00+00:00
FND-000831,SCN-20260114-0776,2026-01-14,2026-01-14T06:35:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Open,2025-11-01,74,24.32,1911000.00,117.60,7,true,Wiz,2026-01-15T08:35:00+00:00
FND-000832,SCN-20260331-0212,2026-03-31,2026-03-31T06:36:00+00:00,AST-013,mobile-bff-api,Container,Production,Digital Experience,Web Platform,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,In Remediation,2025-09-10,202,12.35,593400.00,68.80,30,true,Nessus,2026-04-02T08:36:00+00:00
FND-000833,SCN-20260602-0777,2026-06-02,2026-06-02T06:37:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Open,2026-05-05,28,20.16,1951950.00,109.20,7,true,Nessus,2026-06-02T08:37:00+00:00
FND-000834,SCN-20260501-0778,2026-05-01,2026-05-01T06:38:00+00:00,AST-021,dev-sandbox-box,Cloud VM,Development,Developer Platform,Developer Platform,CVE-2026-40274,SQL Injection in the object-storage SDK,SQL Injection,High,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-01-11,110,13.65,87120.00,17.60,30,false,CrowdStrike Spotlight,2026-05-01T08:38:00+00:00
FND-000835,SCN-20260714-0779,2026-07-14,2026-07-14T06:39:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2026-44795,Authentication Bypass in the configuration server,Authentication Bypass,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-06-16,28,14.00,473850.00,52.00,90,true,Qualys VMDR,2026-07-14T08:39:00+00:00
FND-000836,SCN-20260426-0780,2026-04-26,2026-04-26T06:40:00+00:00,AST-012,vpn-concentrator,Network Device,Production,Network Security,Network Security,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,In Remediation,2026-02-21,64,24.64,1005550.00,100.10,7,true,Wiz,2026-04-27T08:40:00+00:00
FND-000837,SCN-20260620-0781,2026-06-20,2026-06-20T06:41:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2025-44521,Information Disclosure in the backup client,Information Disclosure,High,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2026-05-14,37,8.58,1176825.00,85.20,30,false,Wiz,2026-06-21T08:41:00+00:00
FND-000838,SCN-20260706-0782,2026-07-06,2026-07-06T06:42:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Resolved,2025-12-16,202,5.40,513040.00,42.40,90,false,Qualys VMDR,2026-07-08T08:42:00+00:00
FND-000839,SCN-20260512-0783,2026-05-12,2026-05-12T06:43:00+00:00,AST-010,ci-build-runner,Cloud VM,Development,Developer Platform,Developer Platform,CVE-2025-45754,SQL Injection in the log-shipping daemon,SQL Injection,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-12-31,132,15.20,291060.00,49.00,7,true,Rapid7 InsightVM,2026-05-14T08:43:00+00:00
FND-000840,SCN-20260329-0784,2026-03-29,2026-03-29T06:44:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Open,2026-02-18,39,20.16,720720.00,72.80,7,true,CrowdStrike Spotlight,2026-03-29T08:44:00+00:00
FND-000841,SCN-20260615-0785,2026-06-15,2026-06-15T06:45:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Resolved,2026-01-06,160,13.00,592110.00,68.80,30,true,Wiz,2026-06-16T08:45:00+00:00
FND-000842,SCN-20260116-0786,2026-01-16,2026-01-16T06:46:00+00:00,AST-020,partner-integration-gw,Server,Production,Partnerships,Integration Team,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Open,2025-09-22,116,24.64,541450.00,63.70,7,true,Wiz,2026-01-16T08:46:00+00:00
FND-000843,SCN-20260424-0787,2026-04-24,2026-04-24T06:47:00+00:00,AST-003,customer-portal-web,Server,Production,Digital Experience,Web Platform,CVE-2026-44795,Authentication Bypass in the configuration server,Authentication Bypass,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2025-12-02,143,14.70,858000.00,65.00,90,true,Wiz,2026-04-26T08:47:00+00:00
FND-000844,SCN-20260417-0788,2026-04-17,2026-04-17T06:48:00+00:00,AST-019,secrets-vault,Container,Production,Identity & Access,IAM Engineering,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,In Remediation,2026-04-09,8,21.28,2252250.00,118.30,7,true,CrowdStrike Spotlight,2026-04-18T08:48:00+00:00
FND-000845,SCN-20260516-0789,2026-05-16,2026-05-16T06:49:00+00:00,AST-015,sso-broker,Container,Production,Identity & Access,IAM Engineering,CVE-2025-41644,SQL Injection in the message queue broker,SQL Injection,Low,3.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2026-04-03,43,6.30,610500.00,40.70,180,false,Nessus,2026-05-16T08:49:00+00:00
FND-000846,SCN-20260615-0790,2026-06-15,2026-06-15T06:50:00+00:00,AST-014,data-lake-gateway,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2026-40274,SQL Injection in the object-storage SDK,SQL Injection,High,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-02-23,112,11.70,862400.00,79.20,30,false,Nessus,2026-06-17T08:50:00+00:00
FND-000847,SCN-20260419-0416,2026-04-19,2026-04-19T06:51:00+00:00,AST-017,reporting-warehouse,Database,Production,Finance Systems,Enterprise Apps,CVE-2026-45617,Privilege Escalation in the API gateway plugin,Privilege Escalation,Low,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-01-02,107,8.40,358050.00,27.90,180,false,Qualys VMDR,2026-04-19T08:51:00+00:00
FND-000848,SCN-20260807-0791,2026-08-07,2026-08-07T06:52:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2025-40000,Remote Code Execution in the message queue broker,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-07-07,31,28.16,2102100.00,117.60,7,false,Nessus,2026-08-07T08:52:00+00:00
FND-000849,SCN-20260529-0792,2026-05-29,2026-05-29T06:00:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Open,2026-04-27,32,13.00,681120.00,68.80,30,true,Qualys VMDR,2026-05-31T08:00:00+00:00
FND-000850,SCN-20260519-0793,2026-05-19,2026-05-19T06:01:00+00:00,AST-014,data-lake-gateway,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Accepted Risk,2026-05-08,11,10.92,661500.00,67.50,30,false,Wiz,2026-05-20T08:01:00+00:00
FND-000851,SCN-20260616-0794,2026-06-16,2026-06-16T06:02:00+00:00,AST-007,billing-batch-worker,Container,Production,Payments Platform,Platform SRE,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Open,2026-02-23,113,22.40,740740.00,72.80,7,true,Wiz,2026-06-16T08:02:00+00:00
FND-000852,SCN-20251027-0795,2025-10-27,2025-10-27T06:03:00+00:00,AST-024,iot-telemetry-hub,Network Device,Staging,Product Engineering,Integration Team,CVE-2025-40411,Information Disclosure in the metrics collector agent,Information Disclosure,High,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-04-17,193,8.19,250920.00,32.80,30,false,Nessus,2025-10-27T08:03:00+00:00
FND-000853,SCN-20260331-0796,2026-03-31,2026-03-31T06:04:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2026-41781,Information Disclosure in the container runtime shim,Information Disclosure,Low,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-12-28,93,4.41,604500.00,37.20,180,true,Nessus,2026-04-01T08:04:00+00:00
FND-000854,SCN-20260801-0797,2026-08-01,2026-08-01T06:05:00+00:00,AST-011,logging-elastic-node,Cloud VM,Production,Observability,Platform SRE,CVE-2025-41233,Cryptographic Weakness in the backup client,Cryptographic Weakness,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-07-08,24,9.45,361460.00,37.10,90,false,Wiz,2026-08-01T08:05:00+00:00
FND-000855,SCN-20260212-0798,2026-02-12,2026-02-12T06:06:00+00:00,AST-015,sso-broker,Container,Production,Identity & Access,IAM Engineering,CVE-2026-40274,SQL Injection in the object-storage SDK,SQL Injection,High,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-02-04,8,11.70,1320000.00,96.80,30,false,Qualys VMDR,2026-02-13T08:06:00+00:00
FND-000856,SCN-20260429-0799,2026-04-29,2026-04-29T06:07:00+00:00,AST-001,core-payments-api,Server,Production,Payments Platform,Platform SRE,CVE-2025-42466,Cross-Site Scripting in the log-shipping daemon,Cross-Site Scripting,High,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-03-15,45,6.18,1530000.00,97.50,30,true,Nessus,2026-05-01T08:07:00+00:00
FND-000857,SCN-20260720-0146,2026-07-20,2026-07-20T06:08:00+00:00,AST-008,hr-records-db,Database,Production,People Operations,Enterprise Apps,CVE-2026-42192,Insecure Deserialization in the workflow scheduler,Insecure Deserialization,High,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-04-04,107,15.21,844800.00,79.20,30,true,Wiz,2026-07-20T08:08:00+00:00
FND-000858,SCN-20251103-0800,2025-11-03,2025-11-03T06:09:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2025-43699,Path Traversal in the metrics collector agent,Path Traversal,Low,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2025-09-06,58,5.14,300080.00,24.80,180,false,Wiz,2025-11-04T08:09:00+00:00
FND-000859,SCN-20260517-0801,2026-05-17,2026-05-17T06:10:00+00:00,AST-017,reporting-warehouse,Database,Production,Finance Systems,Enterprise Apps,CVE-2026-41507,Privilege Escalation in the configuration server,Privilege Escalation,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-04-08,39,13.20,406350.00,38.70,90,false,Nessus,2026-05-17T08:10:00+00:00
FND-000860,SCN-20260524-0802,2026-05-24,2026-05-24T06:11:00+00:00,AST-023,email-relay,Server,Production,Corporate IT,Enterprise Apps,CVE-2025-40822,Insecure Deserialization in the log-shipping daemon,Insecure Deserialization,Medium,6.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-03-17,68,13.65,183600.00,34.00,90,false,Manual Pentest,2026-05-26T08:11:00+00:00
FND-000861,SCN-20260705-0803,2026-07-05,2026-07-05T06:12:00+00:00,AST-009,internal-wiki,Server,Staging,Corporate IT,Enterprise Apps,CVE-2025-40411,Information Disclosure in the metrics collector agent,Information Disclosure,High,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-04-11,85,7.80,189420.00,32.80,30,false,Nessus,2026-07-05T08:12:00+00:00
FND-000862,SCN-20260123-0804,2026-01-23,2026-01-23T06:13:00+00:00,AST-014,data-lake-gateway,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2026-44384,SQL Injection in the caching proxy,SQL Injection,High,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-11-06,78,12.35,624750.00,67.50,30,true,Nessus,2026-01-23T08:13:00+00:00
FND-000863,SCN-20260216-0805,2026-02-16,2026-02-16T06:14:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2026-40959,Path Traversal in the identity federation module,Path Traversal,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-12-02,76,7.70,473850.00,52.00,90,false,Nessus,2026-02-18T08:14:00+00:00
FND-000864,SCN-20260514-0806,2026-05-14,2026-05-14T06:15:00+00:00,AST-020,partner-integration-gw,Server,Production,Partnerships,Integration Team,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,In Remediation,2026-03-02,73,11.44,525000.00,52.50,30,false,Wiz,2026-05-15T08:15:00+00:00
FND-000865,SCN-20260509-0807,2026-05-09,2026-05-09T06:16:00+00:00,AST-012,vpn-concentrator,Network Device,Production,Network Security,Network Security,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Open,2025-12-12,148,6.00,689000.00,58.30,90,false,Wiz,2026-05-11T08:16:00+00:00
FND-000866,SCN-20260511-0808,2026-05-11,2026-05-11T06:17:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2026-40548,Denial of Service in the workflow scheduler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-04-27,14,9.88,1080000.00,82.50,30,false,Nessus,2026-05-11T08:17:00+00:00
FND-000867,SCN-20260308-0809,2026-03-08,2026-03-08T06:18:00+00:00,AST-011,logging-elastic-node,Cloud VM,Production,Observability,Platform SRE,CVE-2026-45069,Path Traversal in the container runtime shim,Path Traversal,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-10-30,129,6.65,279310.00,37.10,90,false,Qualys VMDR,2026-03-09T08:18:00+00:00
FND-000868,SCN-20251229-0810,2025-12-29,2025-12-29T06:19:00+00:00,AST-022,backup-orchestrator,Server,Production,Infrastructure,Platform SRE,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,In Remediation,2025-12-04,25,25.60,441980.00,49.00,7,true,Nessus,2025-12-29T08:19:00+00:00
